,Network Measure,Score,Interaction,Gender,Strain,Group,File
32,eigenvector centrality,0.322808053145781,Oriented-Towards,Male,CCvsCC,33,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group10X_30min_interaction__cam_2_Wed_06_12_2019_mjpeg_tracks.mat
33,eigenvector centrality,0.30671415621294706,Oriented-Towards,Male,CCvsCC,34,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group11Z_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat
34,eigenvector centrality,0.3108510762293938,Oriented-Towards,Male,CCvsCC,35,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group12A_interaction_30min_cam_2_Fri_09_20_2019_mjpeg_tracks.mat
35,eigenvector centrality,0.32642158933065224,Oriented-Towards,Male,CCvsCC,36,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group1_Interaction_30min_cam_2_Tue_01_08_2019_mjpeg_tracks.mat
36,eigenvector centrality,0.3170144245730886,Oriented-Towards,Male,CCvsCC,37,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group2_Interaction_30min_cam_2_Fri_01_11_2019_mjpeg_tracks.mat
37,eigenvector centrality,0.3069172438395505,Oriented-Towards,Male,CCvsCC,38,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group3_Interaction_30min_cam_2_Tue_01_15_2019_mjpeg_tracks.mat
38,eigenvector centrality,0.31196669385362075,Oriented-Towards,Male,CCvsCC,39,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group4J_Interaction_30min_cam_2_Tue_03_05_2019_mjpeg_tracks.mat
39,eigenvector centrality,0.31412246047776965,Oriented-Towards,Male,CCvsCC,40,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group5M_Interaction_30min_cam_2_Wed_03_27_2019_mjpeg_tracks.mat
40,eigenvector centrality,0.3133629318957961,Oriented-Towards,Male,CCvsCC,41,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group6N_Interaction_30min_cam_2_Tue_04_16_2019_mjpeg_tracks.mat
41,eigenvector centrality,0.3218920715911909,Oriented-Towards,Male,CCvsCC,42,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group7Q_Interaction_30min_cam_2_Tue_04_16_2019_mjpeg_tracks.mat
