,Network Measure,Score,Interaction,Gender,Strain,Group,File
28,eigenvector centrality,0.35916238392043515,Head-Tail,Female,FCvsCC,29,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group8D_interaction_30min__cam_2_Tue_06_25_2019_mjpeg_tracks.mat
29,eigenvector centrality,0.3468133715066269,Head-Tail,Female,FCvsCC,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat
30,eigenvector centrality,0.27605942332267147,Head-Tail,Male,CCvsCC,31,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group10X_30min_interaction__cam_2_Wed_06_12_2019_mjpeg_tracks.mat
31,eigenvector centrality,0.3529849655698661,Head-Tail,Male,CCvsCC,32,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group11Z_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat
32,eigenvector centrality,0.2731796853434107,Head-Tail,Male,CCvsCC,33,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group12A_interaction_30min_cam_2_Fri_09_20_2019_mjpeg_tracks.mat
33,eigenvector centrality,0.3093712029992221,Head-Tail,Male,CCvsCC,34,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group1_Interaction_30min_cam_2_Tue_01_08_2019_mjpeg_tracks.mat
34,eigenvector centrality,0.2781105899756588,Head-Tail,Male,CCvsCC,35,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group2_Interaction_30min_cam_2_Fri_01_11_2019_mjpeg_tracks.mat
35,eigenvector centrality,0.2780859033915762,Head-Tail,Male,CCvsCC,36,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group3_Interaction_30min_cam_2_Tue_01_15_2019_mjpeg_tracks.mat
36,eigenvector centrality,0.3451478966636138,Head-Tail,Male,CCvsCC,37,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group4J_Interaction_30min_cam_2_Tue_03_05_2019_mjpeg_tracks.mat
37,eigenvector centrality,0.3248990664788187,Head-Tail,Male,CCvsCC,38,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group5M_Interaction_30min_cam_2_Wed_03_27_2019_mjpeg_tracks.mat
38,eigenvector centrality,0.29212665778644564,Head-Tail,Male,CCvsCC,39,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group6N_Interaction_30min_cam_2_Tue_04_16_2019_mjpeg_tracks.mat
39,eigenvector centrality,0.30504249485132046,Head-Tail,Male,CCvsCC,40,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group7Q_Interaction_30min_cam_2_Tue_04_16_2019_mjpeg_tracks.mat
40,eigenvector centrality,0.2668299738392176,Head-Tail,Male,CCvsCC,41,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group8T_Interaction_30min_cam_2_Tue_04_23_2019_mjpeg_tracks.mat
41,eigenvector centrality,0.2740697732227857,Head-Tail,Male,CCvsCC,42,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group9V_30min_interaction_cam_2_Fri_06_07_2019_mjpeg_tracks.mat
42,eigenvector centrality,0.2828947848250717,Head-Tail,Male,FCvsCC,43,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group1_30Mins_InteractionDay1_cam_1_Wed_07_18_2018_mjpeg_tracks.mat
43,eigenvector centrality,0.30514296329505153,Head-Tail,Male,FCvsCC,44,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group2_30min_interaction_cam_2_Tue_09_25_2018_mjpeg_tracks.mat
44,eigenvector centrality,0.3641714485562724,Head-Tail,Male,FCvsCC,45,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group3_Interaction_0_30_min_cam_2_Tue_09_25_2018_mjpeg_tracks.mat
45,eigenvector centrality,0.2952666124541065,Head-Tail,Male,FCvsCC,46,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat
46,eigenvector centrality,0.34148943506662144,Head-Tail,Male,FCvsCC,47,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group5_Interaction_30min_cam_2_Tue_01_08_2019_mjpeg_tracks.mat
47,eigenvector centrality,0.3408109816125987,Head-Tail,Male,FCvsCC,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group6H_Training_Interaction_30_minutes_cam_2_Wed_02_13_2019_mjpeg_tracks.mat
48,eigenvector centrality,0.34639538660661046,Head-Tail,Male,FCvsCC,49,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group7S_Interaction_30min_cam_2_Tue_04_30_2019_mjpeg_tracks.mat
49,eigenvector centrality,0.29469970046844834,Head-Tail,Male,FCvsCC,50,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat
