,Network Measure,Score,Interaction,Gender,Strain,Group,File
30,closeness centrality,0.33599568920047646,Oriented-Towards,Female,FCvsCC,0,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group8D_interaction_30min__cam_2_Tue_06_25_2019_mjpeg_tracks.mat
31,closeness centrality,0.33875110859959345,Oriented-Towards,Female,FCvsCC,0,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat
32,closeness centrality,0.34673450473340817,Oriented-Towards,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group10X_30min_interaction__cam_2_Wed_06_12_2019_mjpeg_tracks.mat
33,closeness centrality,0.33819696311678815,Oriented-Towards,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group11Z_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat
34,closeness centrality,0.33481491163268545,Oriented-Towards,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group12A_interaction_30min_cam_2_Fri_09_20_2019_mjpeg_tracks.mat
35,closeness centrality,0.34542313730570395,Oriented-Towards,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group1_Interaction_30min_cam_2_Tue_01_08_2019_mjpeg_tracks.mat
36,closeness centrality,0.3374849774959907,Oriented-Towards,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group2_Interaction_30min_cam_2_Fri_01_11_2019_mjpeg_tracks.mat
37,closeness centrality,0.3355978789914533,Oriented-Towards,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group3_Interaction_30min_cam_2_Tue_01_15_2019_mjpeg_tracks.mat
38,closeness centrality,0.3392666583323149,Oriented-Towards,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group4J_Interaction_30min_cam_2_Tue_03_05_2019_mjpeg_tracks.mat
39,closeness centrality,0.33372393957860136,Oriented-Towards,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group5M_Interaction_30min_cam_2_Wed_03_27_2019_mjpeg_tracks.mat
40,closeness centrality,0.33609596593211816,Oriented-Towards,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group6N_Interaction_30min_cam_2_Tue_04_16_2019_mjpeg_tracks.mat
41,closeness centrality,0.333920787251252,Oriented-Towards,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group7Q_Interaction_30min_cam_2_Tue_04_16_2019_mjpeg_tracks.mat
42,closeness centrality,0.34398694531173163,Oriented-Towards,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group8T_Interaction_30min_cam_2_Tue_04_23_2019_mjpeg_tracks.mat
43,closeness centrality,0.3362811252144036,Oriented-Towards,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group9V_30min_interaction_cam_2_Fri_06_07_2019_mjpeg_tracks.mat
44,closeness centrality,0.34482898345283663,Oriented-Towards,Male,FCvsCC,0,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group1_30Mins_InteractionDay1_cam_1_Wed_07_18_2018_mjpeg_tracks.mat
45,closeness centrality,0.33452226785560124,Oriented-Towards,Male,FCvsCC,0,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group2_30min_interaction_cam_2_Tue_09_25_2018_mjpeg_tracks.mat
46,closeness centrality,0.3429143363554283,Oriented-Towards,Male,FCvsCC,0,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group3_Interaction_0_30_min_cam_2_Tue_09_25_2018_mjpeg_tracks.mat
47,closeness centrality,0.3371845825014839,Oriented-Towards,Male,FCvsCC,0,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat
48,closeness centrality,0.3336584892518959,Oriented-Towards,Male,FCvsCC,0,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group5_Interaction_30min_cam_2_Tue_01_08_2019_mjpeg_tracks.mat
49,closeness centrality,0.33389085938676943,Oriented-Towards,Male,FCvsCC,0,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group6H_Training_Interaction_30_minutes_cam_2_Wed_02_13_2019_mjpeg_tracks.mat
50,closeness centrality,0.3330302141419278,Oriented-Towards,Male,FCvsCC,0,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group7S_Interaction_30min_cam_2_Tue_04_30_2019_mjpeg_tracks.mat
51,closeness centrality,0.3455559186050516,Oriented-Towards,Male,FCvsCC,0,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat
