,Network Measure,Score,Interaction,Gender,Strain,Group,File
36,closeness centrality,0.3297685185185185,Head-Tail,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group4J_Interaction_30min_cam_2_Tue_03_05_2019_mjpeg_tracks.mat
37,closeness centrality,0.3635327352164087,Head-Tail,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group5M_Interaction_30min_cam_2_Wed_03_27_2019_mjpeg_tracks.mat
38,closeness centrality,0.315814734648068,Head-Tail,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group6N_Interaction_30min_cam_2_Tue_04_16_2019_mjpeg_tracks.mat
39,closeness centrality,0.3263044818641834,Head-Tail,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group7Q_Interaction_30min_cam_2_Tue_04_16_2019_mjpeg_tracks.mat
40,closeness centrality,0.3145748299319728,Head-Tail,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group8T_Interaction_30min_cam_2_Tue_04_23_2019_mjpeg_tracks.mat
41,closeness centrality,0.33354622414622415,Head-Tail,Male,CCvsCC,0,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group9V_30min_interaction_cam_2_Fri_06_07_2019_mjpeg_tracks.mat
42,closeness centrality,0.32251720099546183,Head-Tail,Male,FCvsCC,0,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group1_30Mins_InteractionDay1_cam_1_Wed_07_18_2018_mjpeg_tracks.mat
43,closeness centrality,0.3416524457828806,Head-Tail,Male,FCvsCC,0,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group2_30min_interaction_cam_2_Tue_09_25_2018_mjpeg_tracks.mat
44,closeness centrality,0.38199934985649275,Head-Tail,Male,FCvsCC,0,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group3_Interaction_0_30_min_cam_2_Tue_09_25_2018_mjpeg_tracks.mat
45,closeness centrality,0.36229643196309863,Head-Tail,Male,FCvsCC,0,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat
46,closeness centrality,0.3392013888888889,Head-Tail,Male,FCvsCC,0,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group5_Interaction_30min_cam_2_Tue_01_08_2019_mjpeg_tracks.mat
47,closeness centrality,0.372654980347288,Head-Tail,Male,FCvsCC,0,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group6H_Training_Interaction_30_minutes_cam_2_Wed_02_13_2019_mjpeg_tracks.mat
48,closeness centrality,0.35170096959570646,Head-Tail,Male,FCvsCC,0,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group7S_Interaction_30min_cam_2_Tue_04_30_2019_mjpeg_tracks.mat
49,closeness centrality,0.32994749694749703,Head-Tail,Male,FCvsCC,0,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat
